"tanggal","year","stasiun","pm10","so2","co","o3","no2","max","critical","categori","sum_partikulat"
"2010-01-01","2010","DKI1 (Bunderan HI)",60,4,73,27,14,73,"CO","SEDANG",178
"2010-01-02","2010","DKI1 (Bunderan HI)",32,2,16,33,9,33,"O3","BAIK",92
"2010-01-03","2010","DKI1 (Bunderan HI)",27,2,19,20,9,27,"PM10","BAIK",77
"2010-01-04","2010","DKI1 (Bunderan HI)",22,2,16,15,6,22,"PM10","BAIK",61
"2010-01-05","2010","DKI1 (Bunderan HI)",25,2,17,15,8,25,"PM10","BAIK",67
"2010-01-06","2010","DKI1 (Bunderan HI)",30,3,22,19,11,30,"PM10","BAIK",85
"2010-01-07","2010","DKI1 (Bunderan HI)",41,4,24,27,13,41,"PM10","BAIK",109
"2010-01-08","2010","DKI1 (Bunderan HI)",64,8,51,19,15,64,"PM10","SEDANG",157
"2010-01-09","2010","DKI1 (Bunderan HI)",55,5,39,23,16,55,"PM10","SEDANG",138
"2010-01-10","2010","DKI1 (Bunderan HI)",34,5,23,26,12,34,"PM10","BAIK",100
"2010-01-11","2010","DKI1 (Bunderan HI)",55,10,32,23,16,55,"PM10","SEDANG",136
"2010-01-12","2010","DKI1 (Bunderan HI)",45,4,33,9,17,45,"PM10","BAIK",108
"2010-01-13","2010","DKI1 (Bunderan HI)",28,5,29,10,12,29,"CO","BAIK",84
"2010-01-14","2010","DKI1 (Bunderan HI)",38,6,28,15,10,38,"PM10","BAIK",97
"2010-01-15","2010","DKI1 (Bunderan HI)",35,5,33,17,17,35,"PM10","BAIK",107
"2010-01-16","2010","DKI1 (Bunderan HI)",54,5,38,17,18,54,"PM10","SEDANG",132
"2010-01-17","2010","DKI1 (Bunderan HI)",44,4,28,22,14,44,"PM10","BAIK",112
"2010-01-18","2010","DKI1 (Bunderan HI)",38,4,29,24,15,38,"PM10","BAIK",110
"2010-01-19","2010","DKI1 (Bunderan HI)",40,3,43,23,23,43,"CO","BAIK",132
"2010-01-20","2010","DKI1 (Bunderan HI)",61,5,63,16,17,63,"CO","SEDANG",162
"2010-01-21","2010","DKI1 (Bunderan HI)",36,4,27,23,13,36,"PM10","BAIK",103
"2010-01-22","2010","DKI1 (Bunderan HI)",51,4,45,14,13,51,"PM10","SEDANG",127
"2010-01-23","2010","DKI1 (Bunderan HI)",35,3,30,20,14,35,"PM10","BAIK",102
"2010-01-24","2010","DKI1 (Bunderan HI)",56,6,46,30,14,56,"PM10","SEDANG",152
"2010-01-25","2010","DKI1 (Bunderan HI)",59,4,38,18,15,59,"PM10","SEDANG",134
"2010-01-26","2010","DKI1 (Bunderan HI)",43,5,42,19,24,43,"PM10","BAIK",133
"2010-01-27","2010","DKI1 (Bunderan HI)",54,8,38,40,16,54,"PM10","SEDANG",156
"2010-01-28","2010","DKI1 (Bunderan HI)",72,8,55,20,17,72,"PM10","SEDANG",172
"2010-01-29","2010","DKI1 (Bunderan HI)",51,8,24,19,11,51,"PM10","SEDANG",113
"2010-01-30","2010","DKI1 (Bunderan HI)",47,8,32,19,12,47,"PM10","BAIK",118
"2010-01-31","2010","DKI1 (Bunderan HI)",32,5,25,26,10,32,"PM10","BAIK",98
"2010-02-01","2010","DKI1 (Bunderan HI)",41,7,30,17,13,41,"PM10","BAIK",108
"2010-02-02","2010","DKI1 (Bunderan HI)",50,4,30,23,12,50,"PM10","BAIK",119
"2010-02-03","2010","DKI1 (Bunderan HI)",49,7,33,57,23,57,"O3","SEDANG",169
"2010-02-04","2010","DKI1 (Bunderan HI)",59,9,38,75,26,75,"O3","SEDANG",207
"2010-02-05","2010","DKI1 (Bunderan HI)",63,7,39,41,23,63,"PM10","SEDANG",173
"2010-02-06","2010","DKI1 (Bunderan HI)",65,8,59,24,15,65,"PM10","SEDANG",171
"2010-02-07","2010","DKI1 (Bunderan HI)",60,10,45,47,17,60,"PM10","SEDANG",179
"2010-02-08","2010","DKI1 (Bunderan HI)",46,5,31,42,17,46,"PM10","BAIK",141
"2010-02-09","2010","DKI1 (Bunderan HI)",52,7,30,34,16,52,"PM10","SEDANG",139
"2010-02-10","2010","DKI1 (Bunderan HI)",50,8,31,39,14,50,"PM10","BAIK",142
"2010-02-11","2010","DKI1 (Bunderan HI)",47,5,27,26,14,47,"PM10","BAIK",119
"2010-02-12","2010","DKI1 (Bunderan HI)",56,6,33,45,20,56,"PM10","SEDANG",160
"2010-02-13","2010","DKI1 (Bunderan HI)",55,6,39,14,14,55,"PM10","SEDANG",128
"2010-02-14","2010","DKI1 (Bunderan HI)",55,6,61,16,13,61,"CO","SEDANG",151
"2010-02-15","2010","DKI1 (Bunderan HI)",40,4,30,63,22,63,"O3","SEDANG",159
"2010-02-16","2010","DKI1 (Bunderan HI)",56,4,43,25,20,56,"PM10","SEDANG",148
"2010-02-17","2010","DKI1 (Bunderan HI)",52,4,34,30,17,52,"PM10","SEDANG",137
"2010-02-18","2010","DKI1 (Bunderan HI)",41,5,26,14,10,41,"PM10","BAIK",96
"2010-02-19","2010","DKI1 (Bunderan HI)",37,4,43,17,17,43,"CO","BAIK",118
"2010-02-20","2010","DKI1 (Bunderan HI)",52,3,64,18,12,64,"CO","SEDANG",149
"2010-02-21","2010","DKI1 (Bunderan HI)",61,4,53,36,15,61,"PM10","SEDANG",169
"2010-02-22","2010","DKI1 (Bunderan HI)",34,4,31,23,16,34,"PM10","BAIK",108
"2010-02-23","2010","DKI1 (Bunderan HI)",57,7,35,42,18,57,"PM10","SEDANG",159
"2010-02-24","2010","DKI1 (Bunderan HI)",59,4,44,93,24,93,"O3","SEDANG",224
"2010-02-25","2010","DKI1 (Bunderan HI)",65,6,55,26,26,65,"PM10","SEDANG",178
"2010-02-26","2010","DKI1 (Bunderan HI)",68,9,67,67,22,68,"PM10","SEDANG",233
"2010-02-27","2010","DKI1 (Bunderan HI)",67,8,47,47,19,67,"PM10","SEDANG",188
"2010-02-28","2010","DKI1 (Bunderan HI)",65,6,38,80,23,80,"O3","SEDANG",212
"2010-03-01","2010","DKI1 (Bunderan HI)",60,5,39,44,19,60,"PM10","SEDANG",167
"2010-03-02","2010","DKI1 (Bunderan HI)",74,8,56,68,27,74,"PM10","SEDANG",233
"2010-03-03","2010","DKI1 (Bunderan HI)",54,12,35,77,25,77,"O3","SEDANG",203
"2010-03-04","2010","DKI1 (Bunderan HI)",59,9,32,62,20,62,"O3","SEDANG",182
"2010-03-05","2010","DKI1 (Bunderan HI)",62,11,35,31,19,62,"PM10","SEDANG",158
"2010-03-06","2010","DKI1 (Bunderan HI)",72,10,54,43,23,72,"PM10","SEDANG",202
"2010-03-07","2010","DKI1 (Bunderan HI)",59,7,46,57,19,59,"PM10","SEDANG",188
"2010-03-08","2010","DKI1 (Bunderan HI)",56,7,37,39,18,56,"PM10","SEDANG",157
"2010-03-09","2010","DKI1 (Bunderan HI)",45,5,33,27,15,45,"PM10","BAIK",125
"2010-03-10","2010","DKI1 (Bunderan HI)",44,8,37,41,19,44,"PM10","BAIK",149
"2010-03-11","2010","DKI1 (Bunderan HI)",51,6,37,18,14,51,"PM10","SEDANG",126
"2010-03-12","2010","DKI1 (Bunderan HI)",43,6,42,39,20,43,"PM10","BAIK",150
"2010-03-13","2010","DKI1 (Bunderan HI)",74,9,46,64,16,74,"PM10","SEDANG",209
"2010-03-14","2010","DKI1 (Bunderan HI)",61,9,27,27,13,61,"PM10","SEDANG",137
"2010-03-15","2010","DKI1 (Bunderan HI)",52,8,28,30,15,52,"PM10","SEDANG",133
"2010-03-16","2010","DKI1 (Bunderan HI)",40,5,25,45,13,45,"O3","BAIK",128
"2010-03-17","2010","DKI1 (Bunderan HI)",50,8,30,25,15,50,"PM10","BAIK",128
"2010-03-18","2010","DKI1 (Bunderan HI)",58,10,33,23,15,58,"PM10","SEDANG",139
"2010-03-19","2010","DKI1 (Bunderan HI)",63,10,44,36,18,63,"PM10","SEDANG",171
"2010-03-20","2010","DKI1 (Bunderan HI)",54,11,29,66,19,66,"O3","SEDANG",179
"2010-03-21","2010","DKI1 (Bunderan HI)",52,7,33,31,16,52,"PM10","SEDANG",139
"2010-03-22","2010","DKI1 (Bunderan HI)",37,5,22,15,10,37,"PM10","BAIK",89
"2010-03-23","2010","DKI1 (Bunderan HI)",52,9,44,42,29,52,"PM10","SEDANG",176
"2010-03-24","2010","DKI1 (Bunderan HI)",54,7,41,99,29,99,"O3","SEDANG",230
"2010-03-25","2010","DKI1 (Bunderan HI)",55,9,33,46,20,55,"PM10","SEDANG",163
"2010-03-26","2010","DKI1 (Bunderan HI)",48,4,45,57,29,57,"O3","SEDANG",183
"2010-03-27","2010","DKI1 (Bunderan HI)",61,18,41,59,16,61,"PM10","SEDANG",195
"2010-03-28","2010","DKI1 (Bunderan HI)",56,4,44,45,13,56,"PM10","SEDANG",162
"2010-03-29","2010","DKI1 (Bunderan HI)",50,2,34,27,25,50,"PM10","BAIK",138
"2010-03-30","2010","DKI1 (Bunderan HI)",44,6,33,46,12,44,"PM10","BAIK",141
"2010-03-31","2010","DKI1 (Bunderan HI)",58,5,57,46,14,58,"PM10","SEDANG",180
"2010-04-01","2010","DKI1 (Bunderan HI)",59,5,46,46,21,59,"PM10","SEDANG",177
"2010-04-02","2010","DKI1 (Bunderan HI)",57,4,31,88,18,88,"O3","SEDANG",198
"2010-04-03","2010","DKI1 (Bunderan HI)",37,4,18,46,10,37,"PM10","BAIK",115
"2010-04-04","2010","DKI1 (Bunderan HI)",39,17,29,46,10,39,"PM10","BAIK",141
"2010-04-05","2010","DKI1 (Bunderan HI)",63,7,50,46,22,63,"PM10","SEDANG",188
"2010-04-06","2010","DKI1 (Bunderan HI)",70,9,52,46,27,70,"PM10","SEDANG",204
